filename,width,height,class,xmin,ymin,xmax,ymax
Data\images/00d448df139a4c639fa7be026109d4de.png,416,416,MOL,164,122,179,140
Data\images/00d448df139a4c639fa7be026109d4de.png,416,416,OTHPAR,111,27,160,70
Data\images/00d448df139a4c639fa7be026109d4de.png,416,416,OTHPAR,95,162,114,181
Data\images/00d448df139a4c639fa7be026109d4de.png,416,416,OTHPAR,64,257,83,282
Data\images/00d448df139a4c639fa7be026109d4de.png,416,416,OTHPAR,280,337,298,357
Data\images/00d448df139a4c639fa7be026109d4de.png,416,416,OTHPAR,313,260,356,308
Data\images/00d448df139a4c639fa7be026109d4de.png,416,416,OTHPAR,365,94,388,119
Data\images/00d448df139a4c639fa7be026109d4de.png,416,416,OTHPAR,180,326,215,358
Data\images/00d448df139a4c639fa7be026109d4de.png,416,416,OTHPAR,359,40,375,57
Data\images/00d448df139a4c639fa7be026109d4de.png,416,416,OTHPAR,147,250,220,306
Data\images/00d448df139a4c639fa7be026109d4de.png,416,416,OTHPAR,196,241,209,254
Data\images/010aaa8cfb374fe298540ff773909523.png,416,416,MOL,263,197,288,219
Data\images/010aaa8cfb374fe298540ff773909523.png,416,416,OTHPAR,283,232,319,261
Data\images/010aaa8cfb374fe298540ff773909523.png,416,416,OTHPAR,19,146,38,171
Data\images/010aaa8cfb374fe298540ff773909523.png,416,416,OTHPAR,142,344,202,390
Data\images/010aaa8cfb374fe298540ff773909523.png,416,416,OTHPAR,84,151,115,179
Data\images/010aaa8cfb374fe298540ff773909523.png,416,416,OTHPAR,117,147,152,176
Data\images/010aaa8cfb374fe298540ff773909523.png,416,416,OTHPAR,174,175,194,194
Data\images/010aaa8cfb374fe298540ff773909523.png,416,416,OTHPAR,96,26,112,43
Data\images/010aaa8cfb374fe298540ff773909523.png,416,416,OTHPAR,156,316,175,333
Data\images/010aaa8cfb374fe298540ff773909523.png,416,416,OTHPAR,130,95,148,112
Data\images/010aaa8cfb374fe298540ff773909523.png,416,416,OTHPAR,22,358,52,393
Data\images/010aaa8cfb374fe298540ff773909523.png,416,416,OTHPAR,17,174,43,209
Data\images/010aaa8cfb374fe298540ff773909523.png,416,416,OTHPAR,335,284,357,307
Data\images/010aaa8cfb374fe298540ff773909523.png,416,416,OTHPAR,392,30,407,46
Data\images/015732935ed5467f98a8823433d3bf11.png,416,416,ANOM,212,143,238,174
Data\images/015732935ed5467f98a8823433d3bf11.png,416,416,ANOM,78,310,119,355
Data\images/015732935ed5467f98a8823433d3bf11.png,416,416,ANOM,303,204,327,229
Data\images/015732935ed5467f98a8823433d3bf11.png,416,416,OTHPAR,306,293,346,323
Data\images/015732935ed5467f98a8823433d3bf11.png,416,416,ANOM,274,362,297,385
Data\images/015732935ed5467f98a8823433d3bf11.png,416,416,ANOM,56,108,79,132
Data\images/015732935ed5467f98a8823433d3bf11.png,416,416,ANOM,122,36,144,60
Data\images/015732935ed5467f98a8823433d3bf11.png,416,416,ANOM,98,260,120,280
Data\images/015732935ed5467f98a8823433d3bf11.png,416,416,ANOM,137,336,154,358
Data\images/015732935ed5467f98a8823433d3bf11.png,416,416,ANOM,30,241,53,264
Data\images/01dfe5f816f4442297816ac7f5140679.png,416,416,MOL,127,164,158,194
Data\images/01dfe5f816f4442297816ac7f5140679.png,416,416,OTHPAR,84,244,116,277
Data\images/020db1d5c5754aa69e34c0617bdde29a.png,416,416,POL,62,219,151,293
Data\images/020db1d5c5754aa69e34c0617bdde29a.png,416,416,ANOM,336,148,362,170
Data\images/020db1d5c5754aa69e34c0617bdde29a.png,416,416,ANOM,191,278,205,291
Data\images/020db1d5c5754aa69e34c0617bdde29a.png,416,416,ANOM,83,163,100,177
Data\images/0262060d30404ddb9737d4970d39fd92.png,416,416,ANOM,128,259,150,290
Data\images/0262060d30404ddb9737d4970d39fd92.png,416,416,ANOM,4,312,34,343
Data\images/0262060d30404ddb9737d4970d39fd92.png,416,416,POL,314,102,390,174
Data\images/0262060d30404ddb9737d4970d39fd92.png,416,416,ANOM,370,300,387,317
Data\images/030f145cdf204a14a7ed21f9f106be49.png,416,416,OTHPAR,329,93,372,120
Data\images/030f145cdf204a14a7ed21f9f106be49.png,416,416,OTHPAR,26,312,49,332
Data\images/030f145cdf204a14a7ed21f9f106be49.png,416,416,ANOM,69,171,85,186
Data\images/030f145cdf204a14a7ed21f9f106be49.png,416,416,OTHPAR,275,197,289,210
Data\images/030f145cdf204a14a7ed21f9f106be49.png,416,416,OTHPAR,150,245,172,267
Data\images/030f145cdf204a14a7ed21f9f106be49.png,416,416,OTHPAR,343,41,361,59
Data\images/030f145cdf204a14a7ed21f9f106be49.png,416,416,OTHPAR,340,125,364,142
Data\images/030f145cdf204a14a7ed21f9f106be49.png,416,416,OTHPAR,317,65,351,96
Data\images/030f145cdf204a14a7ed21f9f106be49.png,416,416,OTHPAR,255,41,282,67
Data\images/038d70e986ba455eaf91439c8e76bfe5.png,416,416,OTHPAR,197,287,286,351
Data\images/038d70e986ba455eaf91439c8e76bfe5.png,416,416,ANOM,298,144,306,281
Data\images/038d70e986ba455eaf91439c8e76bfe5.png,416,416,ANOM,263,40,276,55
Data\images/038d70e986ba455eaf91439c8e76bfe5.png,416,416,ANOM,260,350,310,382
Data\images/038d70e986ba455eaf91439c8e76bfe5.png,416,416,ANOM,295,308,308,322
Data\images/038d70e986ba455eaf91439c8e76bfe5.png,416,416,ANOM,286,327,312,350
Data\images/038d70e986ba455eaf91439c8e76bfe5.png,416,416,ANOM,236,354,251,366
Data\images/03b1386eda604e36b63637d72f413786.png,416,416,ANOM,318,189,340,212
Data\images/03b1386eda604e36b63637d72f413786.png,416,416,OTHPAR,316,318,369,361
Data\images/03b1386eda604e36b63637d72f413786.png,416,416,OTHPAR,105,136,166,179
Data\images/03b1386eda604e36b63637d72f413786.png,416,416,ANOM,6,86,27,108
Data\images/03caafd8fc2746eb9daff902e9a5d10c.png,416,416,OTHPAR,279,39,297,57
Data\images/03caafd8fc2746eb9daff902e9a5d10c.png,416,416,ANOM,234,161,257,193
Data\images/03caafd8fc2746eb9daff902e9a5d10c.png,416,416,MOL,88,115,106,130
Data\images/03caafd8fc2746eb9daff902e9a5d10c.png,416,416,OTHPAR,213,175,230,194
Data\images/03caafd8fc2746eb9daff902e9a5d10c.png,416,416,OTHPAR,343,384,361,401
Data\images/03caafd8fc2746eb9daff902e9a5d10c.png,416,416,OTHPAR,243,14,281,49
